			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Blind	Blind	3	 	 	x	 	24	21	18	15	0	75	50	25	0	4	2	4	13	4	12	8	6	9	35	40	45	50	"Blinds selected enemy unit so it can not move and retaliate at full strength. The effect is broken when the unit is attacked.

{None:} unit retaliates at 75% of its strength 
Basic: unit retaliates at 50% of its strength 
Advanced: unit retaliates at 25% of its strength 
Expert: unit does not retaliate "	"Blinds selected enemy unit so it can not move and retaliate at full strength. The effect is broken when the unit is attacked.

None: unit retaliates at 75% of its strength 
{Basic:} unit retaliates at 50% of its strength 
Advanced: unit retaliates at 25% of its strength 
Expert: unit does not retaliate "	"Blinds selected enemy unit so it can not move and retaliate at full strength. The effect is broken when the unit is attacked.

None: unit retaliates at 75% of its strength 
Basic: unit retaliates at 50% of its strength 
{Advanced:} unit retaliates at 25% of its strength 
Expert: unit does not retaliate "	"Blinds selected enemy unit so it can not move and retaliate at full strength. The effect is broken when the unit is attacked.

None: unit retaliates at 75% of its strength 
Basic: unit retaliates at 50% of its strength 
Advanced: unit retaliates at 25% of its strength 
{Expert:} unit does not retaliate "	 COMBAT_SPELL|CREATURE_TARGET
Teleport	Teleport	3	 	x	 	 	24	21	18	15	0	0	0	0	0	12	12	7	4	8	3	5	10	9	20	20	20	20	"Teleports selected friendly unit to an unoccupied spot on the battlefield.

{None:} can not teleport over walls or moats 
Basic: can not teleport over walls or moats 
Advanced: can not teleport over walls
Expert: no restrictions "	"Teleports selected friendly unit to an unoccupied spot on the battlefield.

None: can not teleport over walls or moats 
{Basic:} can not teleport over walls or moats 
Advanced: can not teleport over walls
Expert: no restrictions "	"Teleports selected friendly unit to an unoccupied spot on the battlefield.

None: can not teleport over walls or moats 
Basic: can not teleport over walls or moats 
{Advanced:} can not teleport over walls
Expert: no restrictions "	"Teleports selected friendly unit to an unoccupied spot on the battlefield.

None: can not teleport over walls or moats 
Basic: can not teleport over walls or moats 
Advanced: can not teleport over walls
{Expert:} no restrictions "	 COMBAT_SPELL|CREATURE_TARGET
Remove Obstacle	Remove Obstacle	1	 	 	x	 	8	7	6	5	0	0	0	0	0	2	1	2	7	2	6	5	3	5	1	1	1	1	"Removes any normal obstacle (trees, rocks, etc.) of the caster's choice from the battlefield.

{None:} -
Basic: -
Advanced: can remove Fire Walls 
Expert: can remove any magical obstacle "	"Removes any normal obstacle (trees, rocks, etc.) of the caster's choice from the battlefield.

None: -
{Basic}: -
Advanced: can remove Fire Walls 
Expert: can remove any magical obstacle "	"Removes any normal obstacle (trees, rocks, etc.) of the caster's choice from the battlefield.

None: -
Basic: -
{Advanced:} can remove Fire Walls 
Expert: can remove any magical obstacle "	"Removes any normal obstacle (trees, rocks, etc.) of the caster's choice from the battlefield.

None: -
Basic: -
Advanced: can remove Fire Walls 
{Expert:} can remove any magical obstacle "	 COMBAT_SPELL|OBSTACLE_TARGET
Clone	Clone	4	 	x	 	 	32	28	24	20	0	4	5	6	7	12	13	7	4	8	3	0	0	8	20	30	40	50	"Creates a duplicate of the selected unit stack. The image is dispelled if it is attacked.

{None:} works on level 1-4 creatures
Basic: works on level 1-5 creatures
Advanced: works on level 1-6 creatures
Expert: works on level 1-7 creatures"	"Creates a duplicate of the selected unit stack. The image is dispelled if it is attacked.

None: works on level 1-4 creatures
{Basic:} works on level 1-5 creatures
Advanced: works on level 1-6 creatures
Expert: works on level 1-7 creatures"	"Creates a duplicate of the selected unit stack. The image is dispelled if it is attacked.

None: works on level 1-4 creatures
Basic: works on level 1-5 creatures
{Advanced:} works on level 1-6 creatures
Expert: works on level 1-7 creatures"	"Creates a duplicate of the selected unit stack. The image is dispelled if it is attacked.

None: works on level 1-4 creatures
Basic: works on level 1-5 creatures
Advanced: works on level 1-6 creatures
{Expert:} works on level 1-7 creatures"	 COMBAT_SPELL|CREATURE_TARGET
Summon: Fire	Summon: Fire	5	 	 	x	 	32	28	24	20	2	2	3	4	5	4	2	4	13	4	12	8	6	10	12	24	36	48	"Summons a group of fire messengers.
Orb of Tempestuous Fire improves the effect.

{None:} 120 * Power + 240 hit points 
Basic: 120 * Power + 360 hit points 
Advanced: 120 * Power + 480 hit points 
Expert: 120 * Power + 600 hit points "	"Summons a group of fire messengers.
Orb of Tempestuous Fire improves the effect.

None: 120 * Power + 240 hit points 
{Basic:} 120 * Power + 360 hit points 
Advanced: 120 * Power + 480 hit points 
Expert: 120 * Power + 600 hit points "	"Summons a group of fire messengers.
Orb of Tempestuous Fire improves the effect.

None: 120 * Power + 240 hit points 
Basic: 120 * Power + 360 hit points 
{Advanced:} 120 * Power + 480 hit points 
Expert: 120 * Power + 600 hit points "	"Summons a group of fire messengers.
Orb of Tempestuous Fire improves the effect.

None: 120 * Power + 240 hit points 
Basic: 120 * Power + 360 hit points 
Advanced: 120 * Power + 480 hit points 
{Expert:} 120 * Power + 600 hit points "	 COMBAT_SPELL
Summon: Earth	Summon: Earth	5	x	 	 	 	32	28	24	20	2	2	3	4	5	5	9	6	7	11	10	8	8	7	15	30	45	60	"Summons a group of earth messengers.
Orb of Silt improves the effect.

{None:} 150 * Power + 300 hit points 
Basic: 150 * Power + 450 hit points 
Advanced: 150 * Power + 600 hit points 
Expert: 150 * Power + 750 hit points "	"Summons a group of earth messengers.
Orb of Silt improves the effect.

None: 150 * Power + 300 hit points 
{Basic:} 150 * Power + 450 hit points 
Advanced: 150 * Power + 600 hit points 
Expert: 150 * Power + 750 hit points "	"Summons a group of earth messengers.
Orb of Silt improves the effect.

None: 150 * Power + 300 hit points 
Basic: 150 * Power + 450 hit points 
{Advanced:} 150 * Power + 600 hit points 
Expert: 150 * Power + 750 hit points "	"Summons a group of earth messengers.
Orb of Silt improves the effect.

None: 150 * Power + 300 hit points 
Basic: 150 * Power + 450 hit points 
Advanced: 150 * Power + 600 hit points 
{Expert:} 150 * Power + 750 hit points "	 COMBAT_SPELL
Summon: Water	Summon: Water	4	 	x	 	 	27	24	20	16	2	2	4	6	8	12	13	7	4	8	3	0	0	8	9	18	27	36	"Summons a group of water messengers.
Orb of Driving Rain improves the effect.

{None:} 90 * Power + 180 hit points 
Basic: 90 * Power + 270 hit points 
Advanced: 90 * Power + 360 hit points 
Expert: 90 * Power + 450 hit points "	"Summons a group of water messengers.
Orb of Driving Rain improves the effect.

None: 90 * Power + 180 hit points 
{Basic:} 90 * Power + 270 hit points 
Advanced: 90 * Power + 360 hit points 
Expert: 90 * Power + 450 hit points "	"Summons a group of water messengers.
Orb of Driving Rain improves the effect.

None: 90 * Power + 180 hit points 
Basic: 90 * Power + 270 hit points 
{Advanced:} 90 * Power + 360 hit points 
Expert: 90 * Power + 450 hit points "	"Summons a group of water messengers.
Orb of Driving Rain improves the effect.

None: 90 * Power + 180 hit points 
Basic: 90 * Power + 270 hit points 
Advanced: 90 * Power + 360 hit points 
{Expert:} 90 * Power + 450 hit points "	 COMBAT_SPELL
Summon: Air	Summon: Air	4	 	 	 	x	27	24	20	16	2	2	4	6	8	0	9	21	10	10	7	0	0	12	6	12	18	24	"Summons a group of air messengers.
Orb of the Firmament improves the effect.

{None:} 60 * Power + 120 hit points 
Basic: 60 * Power + 180 hit points 
Advanced: 60 * Power + 240 hit points 
Expert: 60 * Power + 300 hit points "	"Summons a group of air messengers.
Orb of the Firmament improves the effect.

None: 60 * Power + 120 hit points 
{Basic:} 60 * Power + 180 hit points 
Advanced: 60 * Power + 240 hit points 
Expert: 60 * Power + 300 hit points "	"Summons a group of air messengers.
Orb of the Firmament improves the effect.

None: 60 * Power + 120 hit points 
Basic: 60 * Power + 180 hit points 
{Advanced:} 60 * Power + 240 hit points 
Expert: 60 * Power + 300 hit points "	"Summons a group of air messengers.
Orb of the Firmament improves the effect.

None: 60 * Power + 120 hit points 
Basic: 60 * Power + 180 hit points 
Advanced: 60 * Power + 240 hit points 
{Expert:} 60 * Power + 300 hit points "	 COMBAT_SPELL

Creature Abilities																																	

Stone Gaze	Stone Gaze	3					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Poison	Poison	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Bind	Bind	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Disease	Disease	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Paralyze	Paralyze	4					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Age	Age	5					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Death Cloud	Death Cloud	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Thunderbolt	Thunderbolt	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Dispel Helpful Spells	Dispel Helpful Spells	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Death Stare	Death Stare	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Acid breath	Acid Breath	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					

WoG Spells																																	

Summon Ghost	Summon Ghost	5	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	81
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	82
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	83
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	84
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	85
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	86
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	87
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	88
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	89
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	90
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	91
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	92
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	93
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	94
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	95
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	96
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	97
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	98
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	99
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	100
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	101
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	102
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	103
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	104
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	105
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	106
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	107
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	108
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	109
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	110
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	111
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	112
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	113
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	114
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	115
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	116
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	117
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	118
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	119
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	120
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	121
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	122
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	123
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	124
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	125
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	126
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	127
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	128
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	129
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	130
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	131
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	132
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	133
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	134
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	135
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	136
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	137
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	138
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	139
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	140
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	141
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	142
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	143
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	144
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	145
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	146
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	147
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	148
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	149
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	150
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	151
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	152
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	153
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	154
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	155
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	156
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	157
